<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Daana Pharma Co-a,20220516,28121.00,28121,28121,28121.00,119999551
Daana Pharma Co-a,20220517,29800.00,29800,29800,28450.00,185106
Daana Pharma Co-a,20220518,30150.00,30150,30150,29600.00,653463
Daana Pharma Co-a,20220521,31350.00,31350,31350,31350.00,961209
Daana Pharma Co-a,20220522,33200.00,33200,33200,33200.00,1044276
Daana Pharma Co-a,20220523,35150.00,35150,35150,35150.00,3320123
Daana Pharma Co-a,20220524,37250.00,37250,37250,37250.00,1580930
Daana Pharma Co-a,20220525,39450.00,39450,39450,39450.00,2152023
Daana Pharma Co-a,20220528,41800.00,41800,41800,41800.00,6406915
Daana Pharma Co-a,20220529,44300.00,44300,44300,44300.00,2715465
Daana Pharma Co-a,20220601,43450.00,43800,41650,42150.00,53361006
Daana Pharma Co-a,20220606,41650.00,41650,39650,40050.00,8773901
Daana Pharma Co-a,20220607,38000.00,39600,37650,38100.00,19943892
Daana Pharma Co-a,20220608,38600.00,40350,38600,40250.00,16341965
Daana Pharma Co-a,20220611,41500.00,42500,39000,40600.00,13713578
Daana Pharma Co-a,20220612,38800.00,39700,38200,38450.00,11454220
Daana Pharma Co-a,20220613,38800.00,39450,37850,38400.00,8823804
Daana Pharma Co-a,20220614,38000.00,38100,36250,36800.00,9361563
Daana Pharma Co-a,20220615,36550.00,37750,35800,36950.00,5180151
Daana Pharma Co-a,20220618,37500.00,37500,34850,35400.00,5873833
Daana Pharma Co-a,20220619,34550.00,35000,33300,33900.00,8254545
Daana Pharma Co-a,20220620,33850.00,35350,33500,34350.00,4942709
Daana Pharma Co-a,20220621,34050.00,34450,32400,33550.00,4931650
Daana Pharma Co-a,20220622,33500.00,34400,33050,33750.00,3367020
Daana Pharma Co-a,20220625,34050.00,35000,33200,33800.00,3260936
Daana Pharma Co-a,20220626,33400.00,33400,31850,32250.00,3849522
Daana Pharma Co-a,20220627,31800.00,32250,30950,31550.00,3650780
Daana Pharma Co-a,20220628,32450.00,32650,31450,32050.00,3012034
Daana Pharma Co-a,20220629,32000.00,32300,31150,31600.00,2267357
Daana Pharma Co-a,20220702,31650.00,32200,30900,31450.00,2273765
Daana Pharma Co-a,20220703,31400.00,31700,30350,30950.00,2660808
Daana Pharma Co-a,20220704,31200.00,31900,30700,31150.00,1709103
Daana Pharma Co-a,20220705,31400.00,31400,30200,30700.00,2479584
Daana Pharma Co-a,20220706,30450.00,30700,29900,30100.00,2120384
Daana Pharma Co-a,20220709,30100.00,30350,29400,29800.00,2506711
Daana Pharma Co-a,20220711,29800.00,31200,29800,30450.00,3292101
Daana Pharma Co-a,20220712,30450.00,30750,29450,29800.00,1528539
Daana Pharma Co-a,20220713,29800.00,30300,29450,29750.00,1794667
Daana Pharma Co-a,20220716,30500.00,31500.00,30400.00,31400.00,3052037
